STN;YYYYMMDD;DDVEC;FHVEC;FG;FHX;FHXH;FHN;FHNH;FXX;FXXH;PG;PX;PXH;PN;PNH;VVN;VVNH;VVX;VVXH;NG
225;20010101;174;97;100;120;4;80;13;190;2;9947;10010;1;9930;13;45;8;75;16;8
225;20010102;184;107;110;140;20;80;8;200;20;9898;9926;1;9882;16;65;5;80;10;7
225;20010103;215;73;92;130;2;50;18;170;1;9996;10041;16;9909;1;60;15;80;12;5
225;20010104;188;97;106;170;18;60;14;210;18;9929;9964;1;9899;15;50;8;70;13;8
225;20010105;203;70;92;170;14;40;24;210;14;9859;9945;1;9784;14;40;9;75;21;7
225;20010106;235;84;92;120;22;50;1;160;24;9973;10040;24;9875;1;60;11;75;1;6
225;20010107;216;97;98;120;1;70;22;150;9;10068;10099;22;10041;1;65;11;75;1;6
225;20010108;239;69;83;100;1;50;23;140;20;10106;10127;24;10090;6;58;20;80;14;7
225;20010109;236;47;53;70;1;20;22;90;1;10138;10145;11;10127;1;56;19;80;9;6
225;20010110;74;75;76;120;23;20;1;170;24;10138;10170;24;10127;6;15;5;59;1;8
225;20010111;70;89;90;130;1;40;22;170;1;10241;10281;21;10175;1;56;1;82;14;3
225;20010112;75;45;46;60;14;20;5;90;16;10293;10320;24;10279;1;65;6;82;1;4
225;20010113;80;74;74;80;4;50;3;110;13;10358;10385;24;10323;1;9;1;75;13;2
225;20010114;78;85;85;120;19;50;6;160;18;10354;10383;1;10316;24;1;9;80;11;5
225;20010115;92;82;83;110;2;30;24;140;2;10279;10311;1;10262;15;50;6;75;12;2
225;20010116;91;44;45;60;16;30;11;80;16;10247;10265;2;10230;24;50;16;60;1;0
225;20010117;101;29;30;50;9;10;13;70;9;10202;10225;1;10191;15;30;8;75;5;1
225;20010118;97;30;31;50;6;10;20;70;7;10195;10206;23;10188;2;3;24;65;6;6
225;20010119;149;20;21;30;8;10;2;40;7;10218;10229;21;10205;1;1;7;39;17;8
225;20010120;147;29;32;50;5;20;1;80;5;10233;10249;24;10221;6;8;9;45;19;8
225;20010121;125;47;50;90;21;10;3;130;20;10201;10248;1;10113;24;18;20;58;23;7
225;20010122;124;54;60;80;1;40;8;120;21;10047;10108;1;9974;24;4;13;60;19;8
225;20010123;176;92;96;140;24;70;1;200;19;9953;10000;10;9870;24;35;17;65;14;8
225;20010124;209;118;122;170;7;80;24;230;4;9930;10011;23;9844;4;60;13;65;1;4
225;20010125;184;78;82;90;6;70;2;120;7;10001;10012;20;9990;5;56;9;80;17;4
225;20010126;186;84;87;130;15;60;24;170;14;9979;10008;1;9930;24;60;13;82;15;5
225;20010127;268;59;83;130;14;30;6;180;17;9937;9977;24;9902;5;56;16;70;1;6
225;20010128;290;55;60;100;1;30;22;120;1;10030;10098;24;9976;1;56;15;75;8;6
225;20010129;234;10;26;40;3;10;5;50;3;10170;10218;24;10105;1;58;8;75;5;6
225;20010130;219;27;37;60;15;20;22;70;13;10223;10230;11;10214;4;60;5;82;10;6
225;20010131;88;29;32;40;3;10;24;60;5;10253;10295;24;10223;1;1;3;65;1;8
225;20010201;254;13;25;50;8;10;1;80;9;10280;10294;9;10249;24;2;1;80;13;6
225;20010202;146;37;45;60;2;20;3;90;2;10171;10240;1;10114;23;20;15;80;1;8
225;20010203;103;60;61;80;8;30;1;110;7;10041;10112;1;10004;18;8;17;40;19;8
225;20010204;109;47;71;100;21;40;19;130;21;9990;10037;7;9901;24;20;14;65;24;8
225;20010205;223;107;114;150;20;90;3;190;19;9916;9963;24;9856;5;50;17;65;1;7
225;20010206;205;129;130;150;6;90;2;200;8;9959;9988;24;9931;6;56;3;75;21;7
225;20010207;194;88;92;130;10;30;24;160;3;9993;10014;13;9953;24;65;24;80;15;7
225;20010208;204;14;93;150;9;30;1;200;7;9952;10051;24;9899;6;60;3;80;10;7
225;20010209;23;38;43;100;1;10;20;120;1;10181;10273;24;10063;1;80;1;82;21;5
225;20010210;164;63;66;120;24;30;1;160;23;10295;10317;11;10270;24;60;21;82;1;5
225;20010211;209;135;136;150;15;110;23;190;8;10266;10272;19;10258;7;45;8;75;18;8
225;20010212;220;42;96;140;1;40;16;190;3;10228;10292;24;10191;14;40;16;75;7;7
225;20010213;16;58;58;100;1;20;24;150;2;10351;10367;21;10298;1;60;13;75;1;3
225;20010214;88;25;25;40;20;10;1;50;17;10351;10363;1;10337;24;2;3;65;18;3
225;20010215;79;14;21;30;2;10;11;50;5;10316;10332;1;10298;24;3;3;75;21;1
225;20010216;17;55;58;90;23;30;1;120;23;10306;10351;24;10284;4;2;6;75;19;7
225;20010217;37;62;64;90;3;30;23;130;6;10399;10421;20;10360;1;65;5;75;1;7
225;20010218;332;32;36;60;23;10;3;80;11;10406;10417;1;10398;6;75;1;80;20;5
225;20010219;282;68;82;110;9;30;1;150;10;10358;10398;1;10332;17;35;9;80;1;6
225;20010220;291;58;70;90;19;40;11;120;21;10325;10346;5;10279;24;65;1;75;2;6
225;20010221;286;65;69;90;1;40;22;110;1;10247;10274;1;10215;24;30;8;80;24;7
225;20010222;297;86;90;110;13;50;20;200;22;10141;10210;1;10059;24;70;22;80;1;5
225;20010223;331;63;68;110;2;30;14;210;6;10054;10062;10;10047;5;70;3;82;2;6
225;20010224;32;22;76;120;2;30;13;170;2;10113;10137;12;10060;1;35;3;80;10;4
225;20010225;282;83;91;120;7;60;16;170;24;10091;10105;1;10083;23;35;9;80;14;6
225;20010226;223;40;69;90;13;30;10;150;4;10041;10083;1;9983;24;50;7;84;8;5
225;20010227;132;57;61;70;1;40;20;130;5;9954;9978;1;9945;14;60;5;75;1;7
225;20010228;81;43;47;70;9;10;16;90;9;9942;9947;2;9937;7;45;16;75;1;6
225;20010301;43;50;53;70;1;40;18;90;1;9950;9984;24;9933;4;28;7;70;24;8
225;20010302;67;66;67;110;22;20;5;160;22;9994;10009;10;9979;23;56;17;75;2;5
225;20010303;71;70;72;90;1;60;14;130;1;9988;9998;12;9973;5;50;24;80;9;3
225;20010304;77;65;65;90;4;40;23;120;4;9989;10073;24;9958;7;45;13;60;2;8
225;20010305;135;24;33;50;14;20;7;90;13;10188;10238;21;10087;1;50;4;70;20;4
225;20010306;117;54;55;80;20;40;1;120;21;10189;10232;1;10117;24;56;11;75;16;3
225;20010307;168;56;64;90;14;40;24;130;1;10081;10111;1;10073;7;26;7;79;17;7
225;20010308;147;42;67;120;22;30;6;160;24;10004;10076;1;9951;19;5;21;75;1;7
225;20010309;208;93;94;110;16;70;9;130;1;9992;10008;22;9978;2;2;14;65;1;7
225;20010310;209;80;83;100;16;60;9;120;16;10000;10021;24;9991;14;5;15;65;7;8
225;20010311;209;76;83;140;23;40;19;220;22;10023;10054;9;9959;23;40;7;70;24;8
225;20010312;227;85;90;130;23;60;21;180;22;10012;10038;11;9983;1;58;4;80;10;3
225;20010313;241;85;105;140;8;60;13;190;9;9970;10002;24;9939;10;65;6;80;15;5
225;20010314;264;79;87;130;3;30;23;160;1;10053;10077;19;10008;1;45;21;75;1;4
225;20010315;206;28;30;50;11;10;7;70;13;10085;10105;24;10059;3;8;15;70;13;6
225;20010316;69;63;65;120;24;10;1;150;21;10103;10121;9;10071;24;5;1;80;20;8
225;20010317;67;107;108;140;2;80;10;190;4;10026;10060;1;10012;16;35;10;76;3;8
225;20010318;46;65;69;100;23;40;14;140;24;9993;10017;1;9973;20;27;8;75;13;8
225;20010319;352;92;98;170;4;20;22;220;5;10123;10192;24;9990;1;60;5;82;11;6
225;20010320;126;26;53;80;20;20;13;120;24;10152;10192;1;10104;24;80;12;82;4;6
225;20010321;90;89;90;120;7;40;23;170;6;10015;10100;1;9972;24;15;24;81;1;8
225;20010322;24;22;40;70;12;10;20;80;11;10004;10075;22;9945;4;5;6;75;16;8
225;20010323;85;41;55;110;16;20;23;160;15;10004;10059;1;9949;15;20;6;75;1;8
225;20010324;76;60;63;120;23;10;3;150;21;10018;10036;10;9996;24;15;2;65;1;8
225;20010325;53;95;97;120;2;70;23;160;1;10018;10077;24;9984;4;56;1;75;20;7
225;20010326;80;57;59;80;17;50;2;100;14;10119;10144;23;10082;1;60;6;75;1;7
225;20010327;113;75;76;100;8;60;1;130;7;10116;10142;1;10062;24;59;6;75;2;7
225;20010328;151;71;73;110;16;60;7;210;16;9990;10056;1;9938;24;45;3;80;21;7
225;20010329;211;31;40;60;1;10;7;90;1;9961;10037;24;9912;6;45;12;80;1;6
225;20010330;227;53;55;70;20;30;1;100;20;10118;10182;24;10041;1;15;1;75;2;4
225;20010331;200;96;100;130;17;70;1;170;13;10184;10195;23;10175;11;60;22;80;15;6
225;20010401;213;55;61;110;1;20;20;140;1;10220;10236;13;10200;1;5;9;74;20;6
225;20010402;158;49;54;90;15;30;1;130;15;10129;10199;1;10060;24;40;5;75;16;3
225;20010403;219;69;78;130;6;40;21;170;1;10120;10153;12;10072;1;65;12;80;4;     
225;20010404;221;95;116;170;16;70;1;210;16;10024;10081;24;9980;11;65;19;75;7;     
225;20010405;224;107;123;150;20;100;9;230;16;10078;10131;9;9989;23;56;22;80;5;5
225;20010406;229;108;114;150;2;60;18;190;1;10007;10036;11;9965;23;50;12;65;4;8
225;20010407;220;74;81;120;1;10;24;160;4;10010;10070;24;9962;1;60;1;75;5;5
225;20010408;293;44;65;110;10;20;1;140;9;10157;10202;20;10075;1;65;6;75;1;6
225;20010409;172;44;47;60;1;30;19;90;1;10141;10180;1;10088;24;3;21;75;1;8
225;20010410;292;52;70;90;3;50;11;130;3;10091;10140;24;10059;5;40;1;82;12;8
225;20010411;6;94;95;110;6;70;1;150;8;10229;10288;22;10144;1;40;2;82;22;5
225;20010412;342;85;88;110;15;70;1;160;8;10286;10296;23;10280;12;65;18;82;1;5
225;20010413;8;81;85;100;1;40;24;140;4;10303;10319;22;10289;4;65;10;82;1;5
225;20010414;223;70;85;140;15;10;4;190;18;10230;10316;1;10091;24;30;21;80;7;6
225;20010415;310;103;105;120;15;90;12;170;19;10067;10084;24;10055;6;45;1;80;17;8
225;20010416;347;101;103;120;11;70;8;160;15;10144;10199;24;10084;1;60;10;82;6;7
225;20010417;265;68;95;140;20;60;8;180;21;10149;10200;2;10046;24;37;23;84;8;7
225;20010418;326;90;113;160;5;80;24;210;5;10048;10075;20;9998;4;58;4;82;7;7
225;20010419;302;93;96;130;9;60;22;170;9;10054;10062;1;10045;6;65;11;80;13;6
225;20010420;19;32;44;70;19;10;2;110;22;10087;10122;24;10060;1;65;15;84;6;5
225;20010421;33;55;63;90;16;40;13;120;16;10129;10139;9;10118;24;58;3;80;12;3
225;20010422;35;20;31;50;14;10;3;70;16;10075;10114;1;10042;24;60;19;75;1;4
225;20010423;88;18;32;50;3;20;14;70;3;10052;10077;22;10029;4;70;5;75;1;6
225;20010424;169;56;61;90;22;40;1;140;15;10058;10078;7;10030;19;65;5;75;1;5
225;20010425;192;42;49;100;24;20;16;130;23;10063;10076;23;10054;5;56;8;82;13;6
225;20010426;228;96;97;120;3;70;21;150;3;10113;10142;21;10075;1;60;10;75;1;7
225;20010427;231;52;56;100;1;10;19;130;1;10126;10138;11;10094;24;65;2;80;14;7
225;20010428;219;95;100;140;11;40;1;200;10;10054;10085;1;10029;10;60;8;80;13;6
225;20010429;198;30;53;90;1;10;17;120;1;10064;10069;15;10057;1;70;5;80;1;5
225;20010430;10;36;58;100;17;30;1;130;18;10115;10155;23;10066;1;60;16;80;1;6
225;20010501;47;100;101;140;11;80;1;190;11;10202;10245;24;10151;1;65;11;80;8;7
225;20010502;60;86;89;120;10;50;23;150;9;10182;10244;1;10108;24;70;1;74;20;4
225;20010503;10;66;69;130;19;40;3;180;19;10062;10098;1;10041;15;50;12;74;1;6
225;20010504;14;82;85;110;4;60;6;140;4;10119;10163;24;10069;1;56;5;75;3;6
225;20010505;22;86;87;110;16;60;1;140;17;10195;10215;24;10165;1;75;1;80;12;5
225;20010506;37;89;90;120;11;60;6;160;12;10230;10251;24;10214;1;65;4;80;12;3
225;20010507;46;80;80;100;15;60;22;150;16;10267;10288;24;10251;1;70;3;80;6;2
225;20010508;12;63;67;100;14;40;23;120;14;10278;10289;5;10260;24;61;24;80;7;3
225;20010509;67;63;65;100;14;30;2;130;13;10220;10256;1;10192;18;45;3;80;21;2
225;20010510;84;71;72;90;14;60;2;130;14;10197;10209;23;10188;17;70;12;80;1;0
225;20010511;59;50;57;90;18;40;10;110;16;10218;10224;9;10210;1;60;4;75;13;0
225;20010512;76;66;66;90;19;40;9;120;19;10196;10219;1;10161;24;65;2;75;14;0
225;20010513;82;56;58;70;1;40;8;100;20;10111;10155;1;10073;24;65;23;80;14;4
225;20010514;237;25;48;100;24;20;12;120;23;10063;10074;9;10048;24;40;18;65;1;7
225;20010515;231;58;57;90;6;10;19;110;1;10047;10054;15;10035;24;0;19;65;12;7
225;20010516;216;98;100;140;18;20;1;170;18;10018;10034;24;10005;17;59;1;80;24;6
225;20010517;222;130;137;210;19;50;5;290;19;10039;10057;24;10028;9;60;4;80;1;6
225;20010518;270;81;88;150;1;70;16;200;1;10151;10209;24;10064;1;     ;     ;     ;     ;     
225;20010519;286;58;60;90;7;30;19;100;1;10234;10255;22;10127;6;     ;     ;     ;     ;     
225;20010520;334;34;43;70;19;10;9;90;19;10269;10276;12;10254;1;     ;     ;     ;     ;     
225;20010521;51;60;63;90;16;40;1;140;16;10260;10275;1;10244;17;     ;     ;     ;     ;     
225;20010522;64;68;69;100;20;50;15;140;20;10244;10251;8;10236;17;80;1;81;5;2
225;20010523;67;56;61;80;1;40;11;110;19;10243;10253;7;10233;17;75;7;81;20;1
225;20010524;23;65;69;100;15;50;1;120;14;10235;10242;9;10230;18;60;4;81;1;2
225;20010525;39;45;55;80;1;30;10;110;1;10222;10232;5;10207;24;80;1;81;12;2
225;20010526;204;25;38;60;1;20;19;80;1;10197;10203;1;10190;4;4;24;81;1;6
225;20010527;218;88;88;110;22;50;2;130;16;10203;10215;12;10193;24;2;4;75;23;8
225;20010528;231;99;101;120;12;90;2;150;24;10190;10200;12;10168;24;45;12;75;1;7
225;20010529;257;87;88;110;1;40;24;150;1;10196;10205;14;10173;1;50;1;75;4;4
225;20010530;286;19;30;50;1;20;8;60;1;10171;10199;1;10136;24;70;1;80;14;2
225;20010531;300;76;83;100;3;20;5;140;3;10161;10197;24;10120;3;75;3;80;1;5
225;20010601;266;70;78;100;24;60;8;130;24;10179;10200;9;10115;24;65;11;80;2;6
225;20010602;308;107;129;170;14;100;3;210;14;10083;10128;23;10049;8;45;5;75;16;8
225;20010603;325;131;132;150;5;90;23;220;7;10179;10223;23;10131;3;65;4;75;1;6
225;20010604;263;76;78;100;4;50;22;120;4;10227;10234;11;10219;3;65;4;80;3;6
225;20010605;225;48;53;90;6;20;17;110;6;10175;10218;1;10124;24;60;5;80;12;7
225;20010606;220;86;88;160;23;40;1;200;22;10104;10120;1;10076;24;50;20;75;1;8
225;20010607;248;117;121;160;1;60;23;210;4;10089;10105;14;10056;4;40;4;83;12;5
225;20010608;283;66;68;80;4;60;6;90;2;10122;10149;24;10098;3;74;12;80;2;4
225;20010609;309;28;32;50;1;20;5;80;1;10146;10156;7;10135;24;75;1;81;20;4
225;20010610;313;24;36;60;22;10;3;80;24;10142;10167;24;10127;4;80;12;81;1;5
225;20010611;291;60;75;100;19;60;1;130;19;10196;10213;14;10167;1;65;20;81;8;6
225;20010612;292;44;49;80;3;20;22;100;3;10192;10196;12;10183;24;65;1;81;9;6
225;20010613;10;29;36;60;15;10;2;90;23;10162;10178;1;10148;18;45;3;75;20;6
225;20010614;72;40;50;80;23;30;9;120;23;10154;10170;8;10123;24;60;19;80;4;3
225;20010615;190;23;41;70;1;20;18;100;1;10091;10117;1;10073;17;36;19;75;16;7
225;20010616;173;24;38;50;3;20;15;70;3;10060;10073;1;10051;17;39;3;70;5;6
225;20010617;340;53;64;110;20;10;7;130;6;10094;10163;24;10054;2;25;5;75;8;7
225;20010618;337;90;92;110;4;60;24;140;7;10236;10283;24;10170;1;65;1;75;4;7
225;20010619;253;32;41;60;1;20;10;80;1;10271;10287;8;10238;24;65;16;81;4;4
225;20010620;213;52;59;90;10;20;23;110;10;10188;10233;1;10151;24;49;3;80;19;6
225;20010621;312;64;66;90;13;40;2;110;13;10152;10158;21;10143;3;74;1;80;12;5
225;20010622;319;81;85;120;8;50;20;140;7;10164;10187;21;10139;5;74;4;78;3;7
225;20010623;18;33;43;60;17;30;2;90;23;10201;10206;11;10189;1;75;1;81;13;4
225;20010624;39;29;42;60;1;10;8;80;1;10218;10237;24;10203;1;45;5;75;1;4
225;20010625;79;52;55;70;1;40;8;80;1;10247;10257;10;10237;1;50;3;70;12;2
225;20010626;87;72;73;90;13;50;3;120;13;10178;10237;1;10112;24;45;5;74;10;3
225;20010627;219;68;89;140;7;50;4;200;6;10114;10138;23;10084;7;35;9;74;1;7
225;20010628;224;85;86;120;17;40;7;140;17;10167;10190;24;10132;1;60;1;75;7;5
225;20010629;218;68;69;100;12;40;21;120;1;10205;10220;11;10192;1;56;10;75;19;4
225;20010630;238;53;59;90;15;40;5;110;15;10196;10217;23;10186;3;61;13;75;1;5
225;20010701;286;51;53;70;6;20;21;90;6;10259;10289;23;10217;1;74;10;80;4;2
225;20010702;324;15;30;50;18;10;6;60;18;10280;10293;8;10258;24;65;8;75;1;4
225;20010703;93;56;57;100;16;20;1;130;16;10200;10253;1;10143;24;65;2;81;12;2
225;20010704;105;66;69;90;10;50;22;140;10;10121;10139;1;10107;17;75;1;80;8;0
225;20010705;106;43;52;90;12;20;18;120;11;10115;10124;7;10104;17;70;7;80;1;3
225;20010706;356;34;50;120;5;10;3;170;4;10089;10112;4;10046;24;49;20;81;7;6
225;20010707;250;42;50;80;24;20;7;100;24;10040;10055;22;10028;5;20;20;65;1;7
225;20010708;245;65;67;80;1;40;14;100;1;10077;10114;24;10047;3;30;19;65;6;8
225;20010709;258;67;71;100;24;60;1;130;24;10133;10146;13;10116;1;59;1;80;22;6
225;20010710;216;104;111;170;19;60;3;220;22;10068;10118;1;10031;20;56;15;80;1;7
225;20010711;237;167;168;190;13;140;24;250;13;10057;10086;24;10036;1;65;15;75;3;6
225;20010712;247;120;125;160;1;60;20;200;1;10083;10104;11;10063;20;75;1;80;12;6
225;20010713;240;101;104;130;2;50;24;160;1;10069;10077;12;10059;2;75;1;80;17;6
225;20010714;236;45;53;100;22;10;14;120;22;10061;10097;24;10051;3;50;14;80;1;7
225;20010715;271;45;49;90;1;20;18;130;5;10146;10172;22;10103;1;70;1;81;12;5
225;20010716;338;14;35;50;19;20;1;70;18;10168;10175;7;10150;24;70;22;81;12;3
225;20010717;93;70;71;100;17;40;1;140;16;10082;10149;1;9998;24;70;1;75;4;5
225;20010718;164;57;69;130;6;40;20;230;6;9977;9989;1;9962;5;36;5;75;6;8
225;20010719;248;40;59;90;15;20;9;110;15;9999;10038;22;9967;3;65;5;80;13;6
225;20010720;314;52;73;130;9;10;4;150;9;10122;10181;21;10038;1;56;9;80;20;6
225;20010721;200;85;89;120;15;50;6;160;16;10160;10172;1;10154;13;45;10;80;1;7
225;20010722;226;56;59;80;1;10;22;110;4;10179;10192;22;10163;1;75;1;81;23;4
225;20010723;30;17;32;50;7;10;3;60;6;10179;10191;1;10165;19;50;13;81;1;6
225;20010724;332;21;28;50;22;10;1;60;21;10180;10196;24;10160;4;2;7;81;19;5
225;20010725;22;35;42;70;21;20;5;90;21;10197;10202;8;10190;19;4;4;65;1;4
225;20010726;55;26;46;60;1;20;9;80;1;10180;10193;1;10167;18;50;1;70;5;3
225;20010727;23;47;51;70;11;30;4;110;18;10175;10193;23;10167;4;50;1;75;18;5
225;20010728;3;50;53;70;11;30;24;90;5;10213;10232;21;10185;1;45;1;70;8;2
225;20010729;228;39;44;80;23;10;1;90;14;10228;10239;6;10210;24;45;13;70;2;3
225;20010730;278;23;33;80;1;10;18;100;1;10223;10236;13;10206;1;60;20;80;6;3
225;20010731;301;45;69;100;18;20;1;130;19;10219;10252;23;10193;7;50;4;81;11;6
225;20010801;26;48;61;90;1;40;8;110;1;10249;10273;10;10212;24;70;20;81;6;3
225;20010802;96;57;60;80;6;40;17;110;10;10122;10209;1;10044;24;65;23;75;2;6
225;20010803;239;95;102;130;5;60;1;160;5;10086;10120;21;10031;4;50;5;80;19;5
225;20010804;239;91;98;130;23;80;16;170;24;10139;10157;15;10114;1;75;5;80;1;4
225;20010805;248;65;80;110;3;40;2;180;3;10139;10161;19;10112;4;80;1;81;6;6
225;20010806;225;93;100;150;18;60;4;190;18;10098;10143;1;10061;19;56;16;80;1;6
225;20010807;230;58;76;100;23;50;6;150;23;10056;10082;11;10000;24;45;18;75;4;7
225;20010808;243;135;141;170;17;70;24;230;18;10020;10076;24;9988;4;56;1;80;18;6
225;20010809;254;24;28;70;1;10;10;120;8;10115;10142;24;10080;1;45;20;75;10;7
225;20010810;309;62;73;90;3;20;6;130;2;10209;10251;23;10141;1;35;1;81;9;5
225;20010811;238;92;95;140;21;60;1;180;21;10239;10254;7;10204;24;70;20;81;12;5
225;20010812;232;138;139;150;10;130;1;210;18;10157;10196;1;10112;24;35;13;70;1;8
225;20010813;238;104;106;130;1;80;22;170;2;10124;10140;21;10101;4;49;22;65;7;8
225;20010814;213;25;46;100;1;10;16;120;1;10149;10159;10;10137;1;3;5;80;21;4
225;20010815;158;31;38;60;13;20;17;90;20;10125;10145;1;10106;24;60;5;80;1;4
225;20010816;230;97;99;140;11;20;2;180;12;10132;10172;23;10094;2;40;5;75;11;5
225;20010817;240;29;63;100;1;30;17;120;1;10186;10197;13;10174;1;65;22;81;11;3
225;20010818;96;55;61;70;1;40;17;140;21;10121;10174;1;10069;24;35;21;75;1;6
225;20010819;191;74;81;110;10;20;4;170;17;10063;10077;23;10049;16;60;6;75;3;6
225;20010820;241;56;72;140;4;20;22;170;3;10142;10201;23;10078;1;75;1;80;9;5
225;20010821;73;6;29;40;7;20;1;60;7;10202;10209;8;10196;15;60;12;70;5;4
225;20010822;15;32;40;60;14;10;6;90;13;10222;10229;11;10206;1;60;12;74;15;6
225;20010823;22;25;35;70;3;10;10;90;2;10195;10217;2;10181;24;27;15;65;1;7
225;20010824;102;12;27;50;7;10;10;60;2;10172;10179;2;10165;18;25;7;65;22;4
225;20010825;153;21;35;50;4;20;6;70;4;10167;10175;11;10157;24;40;6;70;17;1
225;20010826;322;5;59;90;19;20;23;120;17;10157;10171;16;10143;4;40;10;65;1;6
225;20010827;345;78;80;110;4;60;1;140;5;10204;10229;20;10158;1;60;1;80;11;4
